ID,CONTEXT,SHAPE_OBJECT,SHAPE_DETAILS,WARE,PRODUCTION_PLACE,CONSERVATION,CHRONOLOGY,Context_Survey_Homogenized
2286,T12-100,Amphora,handle root,black glaze,Local,Medium,Archaic,T12-100
2287,T12-100,Amphora,handle,plain,Import,Poor,Undetermined,T12-100
2288,T12-100,Closed shape,base,black glaze,Local,Poor,Archaic/Classical,T12-100
2289,T12-100,Basin,rim,plain,Corinthian,Medium,Undetermined,T12-100
2290,T12-100,Undetermined,rim,plain,Local,Poor,Undetermined,T12-100
2291,T12-100,Tile,edge,black glaze,Local,Poor,Archaic/Classical,T12-100
2292,T12-100,Amphora,handle root,plain,Import,Poor,Undetermined,T12-100
2293,T12-100,Tile,wall,red glazed,Local,Medium,Archaic/Classical,T12-100
2294,T12-100,Cooking pot,rim,cooking,Import,Medium,Undetermined,T12-100
2295,T12-100,Bowl,base,black glaze,Local,Poor,Archaic/Classical,T12-100
2296,T12-100,Amphora,handle root,plain,Import,Medium,Undetermined,T12-100
2297,T12-100,Cooking pot,rim + handle,cooking,Import,Poor,Undetermined,T12-100
2298,T12-100,Lekane,handle,plain,Local,Poor,Undetermined,T12-100
2299,T12-100,Tile,wall,red glazed,Import,Medium,Archaic/Classical,T12-100
2300,T12-100,Lekane,rim,black glaze,Local,Poor,Archaic/Classical,T12-100
2301,T12-100,Pithos,wall,coarse,Import,Medium,Undetermined,T12-100
2302,T12-100,Lekane,rim,plain,Local,Poor,Undetermined,T12-100
2303,T12-100,Bowl,rim,red glazed,Local,Poor,Archaic/Classical,T12-100
2304,T12-100,Closed shape,base,plain,Local,Very poor,Undetermined,T12-100
2305,T12-100,Kantharos,rim,black glaze,Local,Poor,Archaic/Classical,T12-100
2306,T12-100,Amphora,handle,plain,Import,Poor,Undetermined,T12-100
2307,T12-100,Bowl,rim,plain,Local,Very poor,Undetermined,T12-100
2308,T12-100,Amphora,shoulder,plain,Import,Poor,Archaic/Classical,T12-100
2309,T12-100,Amphora,base,plain,Lesbian,Medium,Classical,T12-100
2310,T12-100,Tile,wall,plain,Import,Medium,Undetermined,T12-100
2311,T12-100,Open shape,base,plain,Local,Very poor,Undetermined,T12-100
2312,T12-100,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-100
2313,T12-100,Pithos,wall,coarse,Import,Poor,Undetermined,T12-100
2314,T12-100,Amphora,wall,black glaze,Import,Poor,Archaic/Classical,T12-100
2315,T12-100,Amphora,wall,plain,Import,Medium,Undetermined,T12-100
2316,T12-100,Basin,wall,plain,Import,Poor,Undetermined,T12-100
2317,T12-100,Closed shape,wall,plain,Import,Poor,Undetermined,T12-100
2318,T12-100,Amphora,wall,plain,Import,Poor,Undetermined,T12-100
2319,T12-100,Amphora,wall,plain,Local,Medium,Undetermined,T12-100
2320,T12-100,Closed shape,wall,plain,Local,Poor,Undetermined,T12-100
2321,T12-100,Undetermined,wall,plain,Local,Very poor,Undetermined,T12-100
2322,T12-100,Undetermined,wall,plain,Import,Very poor,Undetermined,T12-100
2323,T12-100,Closed shape,wall,cooking,Import,Poor,Undetermined,T12-100
2324,T12-100,Closed shape,wall,cooking,Import,Medium,Undetermined,T12-100
2325,T12-100,Tile,wall,plain,Import,Medium,Undetermined,T12-100
2326,T12-100,Tile,wall,plain,Local,Poor,Undetermined,T12-100
2327,T12-100,Tile,wall,red glazed,Local,Medium,Archaic/Classical,T12-100
2328,T12-100,Jug,neck,red glazed,Local,Medium,Archaic/Classical,T12-100
2329,T12-100,Open shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-100
2330,T12-100,Closed shape,wall,black glaze,Local,Medium,Archaic/Classical,T12-100
3857,T12-101-5,Amphora,handle,plain,Import,Medium,Hellenistic,T12-101
3858,T12-101-5,Pithos,base,coarse,Import,Poor,Undetermined,T12-101
3859,T12-101-5,Louterion,rim,coarse,Import,Medium,Undetermined,T12-101
3860,T12-101-5,Cup,handle,black glaze,Local,Medium,Archaic/Classical,T12-101
3861,T12-101-5,Tile,wall,red glazed,Local,Medium,Archaic/Classical,T12-101
